order_id,product_id,customer_id,order_date,quantity,price_per_unit,total_price,payment_method,region
1,101,1001,2022-02-15,50,500,1000,Карта,Север
2,102,1002,2022-03-20,10,800,800,Наличные,Юг
3,103,1003,2022-03-25,3,300,900,Карта,Юг
4,104,1001,2022-04-10,2,400,800,Карта,Восток
5,105,1004,2022-04-15,18,700,700,Наличные,Север
6,106,1005,2022-05-05,9,600,1200,Карта,Юг
7,107,1003,2022-05-20,11,200,200,Наличные,Запад
8,108,1006,2022-06-01,3,450,1350,Карта,Восток
9,109,1007,2022-06-10,1,1000,1000,Карта,Север
10,110,1004,2022-06-15,8,350,700,Наличные,Юг
11,111,1008,2022-07-02,1,750,750,Карта,Запад
12,112,1009,2022-07-15,4,275,1100,Карта,Восток
13,113,1010,2022-08-05,19,900,900,Наличные,Север
14,114,1003,2022-08-10,10,400,800,Карта,Юг
15,115,1011,2022-08-20,1,650,650,Карта,Юг
16,116,1012,2022-09-03,30,300,900,Наличные,Восток
17,117,1013,2022-09-15,80,550,550,Карта,Север
18,118,1014,2022-10-01,9,600,1200,Карта,Юг
19,119,1009,2022-10-10,1,150,150,Наличные,Запад
20,120,1015,2022-11-05,3,450,1350,Карта,Восток
21,121,1001,2022-11-15,1,950,950,Карта,Север
22,122,1006,2022-12-02,8,300,600,Наличные,Юг
23,123,1016,2022-12-10,1,800,800,Карта,Запад
24,124,1003,2023-01-05,3,200,600,Карта,Восток
25,125,1010,2023-01-15,15,700,700,Наличные,Север
26,126,1007,2023-02-01,10,500,1000,Карта,Юг
27,127,1017,2023-02-20,1,300,300,Карта,Запад
28,128,1008,2023-03-05,4,250,1000,Наличные,Юг
29,129,1011,2023-03-15,70,1100,1100,Карта,Север
30,130,1018,2023-03-30,9,350,700,Карта,Юг
31,131,1001,2023-04-10,1,400,400,Карта,Север
32,132,1002,2023-04-15,10,600,1200,Наличные,Юг
33,133,1003,2023-04-20,1,250,250,Карта,Запад
34,134,1006,2023-05-05,3,300,900,Наличные,Восток
35,135,1007,2023-05-20,2,750,1500,Карта,Север
36,136,1011,2023-06-01,10,300,300,Карта,Юг
37,137,1003,2023-06-10,4,200,800,Наличные,Запад
38,138,1004,2023-06-15,1,500,500,Карта,Восток
39,139,1009,2023-07-02,21,700,1400,Карта,Север
40,140,1010,2023-07-15,9,450,450,Карта,Юг
41,101,1001,2024-02-15,50,500,1000,Карта,Север
42,102,1002,2024-03-20,1,800,800,Наличные,Юг
43,103,1003,2024-03-25,3,300,900,Карта,Запад
44,104,1001,2024-04-10,12,400,800,Карта,Восток
45,105,1004,2024-04-15,20,700,700,Наличные,Север
46,106,1005,2024-05-05,2,600,1200,Карта,Юг
47,107,1003,2024-05-20,1,200,200,Наличные,Запад
48,108,1006,2024-06-01,3,450,1350,Карта,Восток
49,109,1007,2024-06-10,11,1000,1000,Карта,Север
50,110,1004,2024-06-15,2,350,700,Наличные,Юг
51,111,1008,2024-07-02,1,750,750,Карта,Запад
52,112,1009,2024-07-15,4,275,1100,Карта,Юг
53,113,1010,2024-08-05,1,900,900,Наличные,Север
54,114,1003,2024-08-10,2,400,800,Карта,Юг
55,115,1011,2024-08-20,1,650,650,Карта,Запад
56,116,1012,2024-09-03,13,300,900,Наличные,Восток
57,117,1013,2024-09-15,60,550,550,Карта,Север
58,118,1014,2024-10-01,2,600,1200,Карта,Юг
59,119,1009,2024-10-10,1,150,150,Наличные,Запад
60,120,1015,2024-11-05,3,450,1350,Карта,Восток
61,121,1001,2024-11-15,18,950,950,Карта,Север
62,122,1006,2024-12-02,12,300,600,Наличные,Юг
63,123,1016,2024-12-10,1,800,800,Карта,Запад
64,124,1003,2025-01-05,3,200,600,Карта,Юг
65,125,1010,2025-01-15,1,700,700,Наличные,Север
66,126,1007,2025-02-01,8,500,1000,Карта,Юг
67,127,1017,2025-02-20,1,300,300,Карта,Запад
68,128,1008,2025-03-05,4,250,1000,Наличные,Восток
69,129,1011,2025-03-15,15,1100,1100,Карта,Север
60,130,1018,2025-03-30,12,350,700,Карта,Юг
61,131,1018,2025-03-30,22,350,700,Карта,Юг
62,132,1018,2025-03-30,32,350,700,Карта,Юг
63,131,1018,2025-03-31,25,350,700,Карта,Юг
64,132,1018,2025-03-31,28,350,700,Карта,Юг